單字,詞性,中文解釋,例句,例句翻譯
regulate,v.,規範,政府制定法律來規範網路內容。,The government sets laws to regulate online content.
reinforce,v.,加強,老師會重複重點來加強學生的記憶。,Teachers repeat key points to reinforce students' memory.
resolve,v.,解決,他們最終成功解決了困擾他們多年的問題。,They finally managed to resolve the problem that had troubled them for years.
restrict,v.,限制,學校限制學生在課堂上使用手機。,The school restricts students from using mobile phones in class.
stimulate,v.,刺激,這部電影刺激了我們對太空探索的興趣。,This movie stimulated our interest in space exploration.
transform,v.,轉變,科技正在轉變我們的學習和生活方式。,Technology is transforming the way we learn and live.
undertake,v.,承擔,他承擔了監督整個專案的任務。,He undertook the task of overseeing the entire project.
utilize,v.,利用,學生應該學習如何有效利用圖書館資源。,Students should learn how to effectively utilize library resources.
contradict,v.,反駁,他的證詞與警方的報告相矛盾。,His testimony contradicted the police report.
differentiate,v.,區分,我們很難區分這兩幅畫的真偽。,It's hard to differentiate between the authenticity of these two paintings.
elaborate,v.,詳盡闡述,請你再詳盡闡述一下你的想法好嗎？,Could you please elaborate further on your ideas?
integrate,v.,整合,學校正努力將科技整合到日常教學中。,The school is trying to integrate technology into daily teaching.
allocate,v.,分配,政府將撥款用於改善教育設施。,The government will allocate funds to improve educational facilities.
compile,v.,編纂,他花了好幾個月編纂這本歷史書。,He spent months compiling this history book.
scrutinize,v.,仔細審查,評審仔細審查了每一份參賽作品。,The judges scrutinized every entry in the competition.
synthesize,v.,綜合,學生需要學會綜合不同來源的資訊來寫報告。,Students need to learn to synthesize information from different sources to write a report.
compensate,v.,補償,公司承諾會補償顧客因延誤造成的損失。,The company promised to compensate customers for losses caused by delays.
constitute,v.,構成,這十個人構成了委員會的全部成員。,These ten people constitute the entire membership of the committee.
derive,v.,源自,許多英文單字源自拉丁語。,Many English words derive from Latin.
diminish,v.,減少,下雨後，噪音逐漸減少了。,After the rain, the noise gradually diminished.
diverge,v.,分歧,他們的意見在關鍵問題上出現了分歧。,Their opinions diverged on a key issue.
emerge,v.,浮現,在經歷了許多困難之後，新的解決方案浮現了。,After many difficulties, a new solution emerged.
endeavor,v.,努力,我們將盡一切努力實現我們的目標。,We will endeavor to achieve our goals.
enhance,v.,提升,運動可以提升人的身體健康和精神狀態。,Exercise can enhance one's physical health and mental state.
encompass,v.,包含,這門課程涵蓋了廣泛的主題。,This course encompasses a wide range of topics.
facilitate,v.,促進,良好的溝通有助於促進團隊合作。,Good communication facilitates teamwork.
foster,v.,培養,老師努力培養學生的批判性思維能力。,The teacher strives to foster students' critical thinking skills.
hinder,v.,阻礙,惡劣的天氣阻礙了我們旅行的進度。,Bad weather hindered our travel progress.
impede,v.,阻礙,缺乏資金將阻礙研究的進展。,Lack of funds will impede the progress of the research.
implement,v.,實施,學校將實施新的教學計畫。,The school will implement a new teaching plan.
imply,v.,暗示,他的沉默暗示他不同意這個提議。,His silence implied that he disagreed with the proposal.
induce,v.,引導,這部紀錄片成功地引導觀眾思考環境問題。,The documentary successfully induced viewers to think about environmental issues.
infer,v.,推斷,根據她的表情，我推斷她很生氣。,From her expression, I inferred that she was angry.
inhibit,v.,抑制,害羞可能會抑制一個人在公開場合表達自己。,Shyness can inhibit a person from expressing themselves in public.
initiate,v.,發起,學生會發起了為偏鄉學童募款的活動。,The student council initiated a fundraising event for rural schoolchildren.
innovate,v.,創新,這家公司以其不斷創新的產品而聞名。,This company is known for its constantly innovating products.
intervene,v.,干預,如果情況惡化，政府可能需要干預。,If the situation worsens, the government might need to intervene.
intricate,adj.,錯綜複雜的,這幅畫有著錯綜複雜的細節，令人驚嘆。,This painting has intricate details that are amazing.
intrinsic,adj.,內在的,對學習的內在動機比外在獎勵更重要。,Intrinsic motivation for learning is more important than external rewards.
invaluable,adj.,無價的,他的經驗對我們團隊來說是無價的財富。,His experience is an invaluable asset to our team.
legitimate,adj.,合法的,這是一個合法且合理的商業交易。,This is a legitimate and reasonable business transaction.
facilitate,v.,促進,良好的溝通有助於促進團隊合作和效率。,Good communication helps to facilitate teamwork and efficiency.
feasible,adj.,可行的,這個計畫聽起來很有趣，但我們需要評估它是否可行。,The plan sounds interesting, but we need to assess if it's feasible.
fluctuate,v.,波動,由於市場需求變化，商品價格經常波動。,Commodity prices often fluctuate due to changes in market demand.
fragile,adj.,易碎的,請小心搬運這個包裹，因為裡面的物品很易碎。,Please handle this package with care, as the items inside are very fragile.
frustrate,v.,使沮喪,考試不及格讓他感到非常沮喪，但他決定下次要更努力。,Failing the exam frustrated him greatly, but he decided to try harder next time.
fundamental,adj.,基礎的,學好數學的基礎概念對解決複雜問題至關重要。,Mastering fundamental math concepts is crucial for solving complex problems.
generate,v.,產生,風力渦輪機可以產生清潔的電能。,Wind turbines can generate clean electricity.
genuine,adj.,真正的,她臉上的笑容是真誠的，沒有任何虛假。,The smile on her face was genuine, without any falseness.
glimpse,n.,一瞥,我只在人群中瞥見了他一眼，然後他就消失了。,I only caught a brief glimpse of him in the crowd before he disappeared.
gratitude,n.,感激,他對老師的指導表達了深深的感激之情。,He expressed deep gratitude for his teacher's guidance.
guarantee,v.,保證,這家公司保證他們的產品品質優良。,This company guarantees that their products are of excellent quality.
habitat,n.,棲息地,砍伐森林破壞了許多野生動物的棲息地。,Deforestation destroys the habitat of many wild animals.
harsh,adj.,嚴苛的,沙漠的氣候非常嚴苛，只有少數植物能生存。,The desert climate is very harsh, and only a few plants can survive.
hazard,n.,危險,在沒有安全裝備的情況下攀岩是一種危險。,Rock climbing without safety gear is a hazard.
hesitate,v.,猶豫,當被問到是否願意參加活動時，他猶豫了一下。,He hesitated when asked if he wanted to participate in the activity.
homogeneous,adj.,同質的,這個班級的學生背景相當同質，大多來自相同社區。,The students in this class have a fairly homogeneous background, mostly from the same community.
hostile,adj.,敵意的,那隻狗對陌生人表現出敵意的態度。,The dog showed a hostile attitude towards strangers.
humble,adj.,謙遜的,儘管取得了巨大成功，他仍然保持謙遜。,Despite his great success, he remained humble.
identify,v.,辨識,警方試圖辨識竊盜案中的嫌犯。,The police tried to identify the suspect in the theft case.
ignorant,adj.,無知的,對歷史的無知可能導致人們重蹈覆轍。,Being ignorant of history can lead people to repeat past mistakes.
illustrate,v.,闡明,老師用圖表來闡明複雜的科學概念。,The teacher used diagrams to illustrate complex scientific concepts.
immerse,v.,使沉浸,他喜歡沉浸在書本的世界中，忘記周遭的一切。,He likes to immerse himself in the world of books, forgetting everything around him.
immune,adj.,免疫的,接種疫苗可以使身體對某些疾病產生免疫力。,Vaccination can make the body immune to certain diseases.
impact,n.,影響,氣候變遷對全球環境產生了巨大影響。,Climate change has had a huge impact on the global environment.
imply,v.,暗示,他的沉默暗示他不同意這個決定。,His silence implied that he disagreed with the decision.
impose,v.,強加,政府決定對進口商品強加新的關稅。,The government decided to impose new tariffs on imported goods.
incentive,n.,誘因,公司提供獎金作為員工努力工作的誘因。,The company offers bonuses as an incentive for employees to work hard.
incident,n.,事件,昨天在學校發生了一起小事件，但沒有人受傷。,A minor incident occurred at school yesterday, but no one was injured.
incorporate,v.,納入,我們需要將新的研究結果納入我們的報告中。,We need to incorporate the new research findings into our report.
indigenous,adj.,原生的,台灣有許多原生的植物和動物物種。,Taiwan has many indigenous plant and animal species.
indispensable,adj.,不可或缺的,對於學生來說，網路已成為學習不可或缺的工具。,For students, the internet has become an indispensable tool for learning.
infer,v.,推斷,從他的表情，我可以推斷他對結果感到失望。,From his expression, I could infer that he was disappointed with the result.
inflate,v.,使膨脹,她用打氣筒把氣球充氣膨脹。,She used a pump to inflate the balloon.
inherent,adj.,固有的,每個人都有追求幸福的固有權利。,Everyone has an inherent right to pursue happiness.
initiate,v.,發起,學生會發起了一項回收活動來促進環保。,The student council initiated a recycling campaign to promote environmental protection.
innovation,n.,創新,科技創新對社會進步至關重要。,Technological innovation is crucial for social progress.
inquire,v.,詢問,她打電話到圖書館詢問借書的規定。,She called the library to inquire about the rules for borrowing books.
insight,n.,洞察力,這本書提供了對人類行為的深刻洞察力。,This book offers profound insight into human behavior.
integrate,v.,整合,我們需要將所有部門的資料整合到一個系統中。,We need to integrate data from all departments into one system.
interpret,v.,解釋,他負責將外國客人的演講內容解釋給觀眾。,He was responsible for interpreting the foreign guest's speech to the audience.
intervene,v.,干預,當爭吵變得激烈時，老師決定干預。,When the argument became heated, the teacher decided to intervene.
intimate,adj.,親密的,他們是親密的朋友，分享彼此所有的秘密。,They are intimate friends, sharing all their secrets with each other.
intricate,adj.,複雜精細的,這幅畫有著複雜精細的圖案和豐富的細節。,This painting has intricate patterns and rich details.
intrigue,v.,引起好奇,這個神秘的古老故事引起了我的好奇心。,This mysterious ancient story intrigued my curiosity.
investigate,v.,調查,警方正在調查這起失竊案以找出真相。,The police are investigating the theft case to find out the truth.
invoke,v.,援引,律師援引法律條文來支持他的論點。,The lawyer invoked legal precedents to support his argument.
irrelevant,adj.,不相關的,你的個人意見與我們討論的主題不相關。,Your personal opinion is irrelevant to the topic we are discussing.
jeopardize,v.,危及,不遵守交通規則可能會危及你和他人的生命安全。,Not following traffic rules can jeopardize your life and the safety of others.
justify,v.,證明...有理,他試圖證明自己缺席會議是有正當理由的。,He tried to justify his absence from the meeting.
legitimate,adj.,合法的,這家公司經營的是合法的商業活動。,This company operates legitimate business activities.
implement,v.,實施,執行,The school decided to implement a new policy to reduce plastic waste.,學校決定實施一項新政策以減少塑膠垃圾。
interpret,v.,解釋,理解,Students need to learn how to interpret data from experiments.,學生需要學習如何解釋實驗數據。
justify,v.,證明…有理,為…辯護,You need to justify your answer with evidence from the text.,你需要用文章中的證據來證明你的答案是合理的。
manipulate,v.,操縱,操作,Some advertisements try to manipulate consumers' emotions.,有些廣告試圖操縱消費者的情緒。
monitor,v.,監控,監測,The teacher will monitor our progress throughout the project.,老師將在整個專案期間監控我們的進度。
negotiate,v.,談判,協商,We had to negotiate with our parents to extend our curfew.,我們必須和父母協商來延長宵禁時間。
perceive,v.,察覺,感知,She perceived a change in his attitude after the argument.,爭吵過後，她察覺到他態度的改變。
prioritize,v.,優先處理,When studying for the exam, you should prioritize the most difficult subjects.,準備考試時，你應該優先處理最困難的科目。
qualify,v.,使合格,取得資格,To qualify for the scholarship, you need excellent grades.,要獲得獎學金，你需要優異的成績。
reinforce,v.,加強,增援,The teacher used examples to reinforce the key concepts.,老師用例子來加強關鍵概念。
resolve,v.,解決,下定決心,We need to resolve this conflict before it gets worse.,我們需要在情況惡化前解決這個衝突。
speculate,v.,推測,猜測,It's pointless to speculate about what might have happened.,推測可能發生的事情是沒有意義的。
sustain,v.,維持,支撐,It's hard to sustain motivation during a long-term project.,在長期專案中很難維持動力。
undergo,v.,經歷,遭受,The patient will undergo surgery next week.,這位病人下週將接受手術。
validate,v.,驗證,使生效,The experiment results helped to validate our hypothesis.,實驗結果有助於驗證我們的假設。
vulnerable,adj.,脆弱的,易受攻擊的,Young children are more vulnerable to illness.,幼兒更容易受到疾病的影響。
welfare,n.,福利,幸福,The government is responsible for the welfare of its citizens.,政府對其公民的福祉負有責任。
yield,v.,產生,屈服,This investment is expected to yield high returns.,這項投資預計會產生高回報。
allocate,v.,分配,撥出,The school will allocate funds for new sports equipment.,學校將撥款購買新的運動器材。
bias,n.,偏見,偏心,It's important to recognize your own biases when evaluating information.,評估資訊時，認識自己的偏見很重要。
complement,v.,補充,使完善,Her artistic skills complement his technical expertise perfectly.,她的藝術技能完美地補充了他的技術專長。
comprehensive,adj.,全面的,綜合的,The report provides a comprehensive overview of the issue.,這份報告對這個問題提供了全面的概述。
concurrent,adj.,同時發生的,Several important events were concurrent with the exam period.,幾個重要事件與考試期間同時發生。
confine,v.,限制,局限,Please confine your comments to the topic at hand.,請將你的評論限制在當前的主題。
consensus,n.,共識,After a long discussion, the committee reached a consensus.,經過長時間討論，委員會達成了共識。
constitute,v.,構成,組成,These elements constitute the core of the problem.,這些元素構成了問題的核心。
criteria,n.,標準,準則,What are the criteria for selecting the best essay?,選擇最佳作文的標準是什麼？
deduce,v.,推斷,演繹,From the clues, we can deduce who the culprit is.,從線索中，我們可以推斷出誰是罪魁禍首。
deficiency,n.,缺乏,不足,Many people have a vitamin D deficiency during winter.,許多人在冬天都有維生素D不足的問題。
denote,v.,表示,意指,The red light denotes danger.,紅燈表示危險。
derive,v.,源自,得到,The word "democracy" is derived from Greek words.,「民主」這個詞源自希臘語。
devise,v.,設計,發明,They devised a plan to raise money for the charity.,他們設計了一個為慈善機構募款的計畫。
discrepancy,n.,差異,不一致,There was a discrepancy between his two statements.,他的兩份聲明之間存在差異。
distort,v.,扭曲,曲解,The media can sometimes distort the truth.,媒體有時會扭曲事實。
diverse,adj.,多樣的,不同的,Our class is made up of students with diverse backgrounds.,我們的班級由來自不同背景的學生組成。
domain,n.,領域,範圍,Mathematics is a challenging domain for many students.,數學對許多學生來說是一個具有挑戰性的領域。
emphasize,v.,強調,The teacher emphasized the importance of critical thinking.,老師強調了批判性思維的重要性。
empirical,adj.,憑經驗的,實證的,The scientist based his conclusions on empirical evidence.,這位科學家將他的結論建立在實證證據上。
enhance,v.,提高,增強,Reading regularly can enhance your vocabulary.,定期閱讀可以增強你的詞彙量。
entity,n.,實體,A company is a legal entity separate from its owners.,公司是一個獨立於其所有者的法律實體。
equivalent,adj.,相等的,等值的,One U.S. dollar is roughly equivalent to thirty New Taiwan dollars.,一美元大約等於三十新台幣。
erode,v.,侵蝕,腐蝕,Coastal erosion is a serious environmental problem.,海岸侵蝕是一個嚴重的環境問題。
excel,v.,擅長,勝過,She excels in both sports and academics.,她在運動和學術方面都表現出色。
explicit,adj.,清楚的,明確的,The instructions were explicit, leaving no room for confusion.,指示很明確，沒有留下任何混淆的餘地。
facilitate,v.,促進,使便利,Technology can facilitate learning for students.,科技可以促進學生的學習。
feasible,adj.,可行的,It's a good idea, but it might not be feasible to implement.,這是個好主意，但實施起來可能不可行。
fluctuate,v.,波動,起伏,The stock market prices fluctuate daily.,股市價格每天都在波動。
foresee,v.,預見,預知,It's difficult to foresee the long-term impact of this decision.,很難預見這項決策的長期影響。
formulate,v.,制定,規劃,We need to formulate a plan for our group project.,我們需要為我們的小組專案制定一個計畫。
integrate,v.,整合,融入,The new student found it easy to integrate into the class.,這位新學生發現很容易融入班級。
access,n.,存取；進入的機會,The library provides students with free access to a wide range of online resources.,圖書館提供學生免費存取各種線上資源的機會。
adapt,v.,適應；改編,It's important for students to adapt to new learning methods as they progress.,隨著進步，學生適應新的學習方法是很重要的。
adequate,adj.,足夠的；適當的,Make sure you get adequate sleep before the big exam.,確保你在大考前有充足的睡眠。
analyze,v.,分析,The scientist needed to analyze the data carefully to draw accurate conclusions.,科學家需要仔細分析數據才能得出準確的結論。
apparent,adj.,明顯的；顯而易見的,It was apparent that he hadn't studied for the test from his low score.,從他低分來看，他沒有為考試學習是顯而易見的。
approach,n.,方法；途徑,Our teacher always encourages us to try different approaches to problem-solving.,我們的老師總是鼓勵我們嘗試不同的方法來解決問題。
assess,v.,評估；評價,The teacher will assess our understanding of the topic through a short quiz.,老師將透過小考來評估我們對該主題的理解。
assume,v.,假設；認為,Don't assume you know the answer; always double-check your work.,不要假設你知道答案；永遠要仔細檢查你的作業。
aware,adj.,意識到的；察覺到的,Students should be aware of the importance of protecting their personal information online.,學生應該意識到保護其線上個人資訊的重要性。
benefit,n.,益處；好處,Regular exercise has many benefits for both physical and mental health.,規律運動對身心健康都有許多益處。
capable,adj.,有能力的；能幹的,She is a very capable student and always finishes her assignments on time.,她是一位非常有能力的學生，總是準時完成作業。
capacity,n.,容量；能力,The school auditorium has a seating capacity of 500 people.,學校禮堂的座位容量為500人。
challenge,v.,挑戰；質疑,Learning a new language can be a real challenge, but it's rewarding.,學習一門新語言可能是一個真正的挑戰，但它很有意義。
circumstance,n.,情況；環境,Under no circumstances should you cheat on an exam.,在任何情況下，你都不應該考試作弊。
commit,v.,承諾；致力於；犯(罪或錯誤),He committed himself to studying hard for the college entrance exam.,他致力於為大學入學考試而努力學習。
community,n.,社區；團體,Our school encourages students to participate in community service activities.,我們學校鼓勵學生參與社區服務活動。
complex,adj.,複雜的；錯綜複雜的,The human brain is an incredibly complex organ.,人腦是一個令人難以置信的複雜器官。
component,n.,組成部分；零件,Trust is a crucial component of any healthy relationship.,信任是任何健康關係的關鍵組成部分。
concept,n.,概念；觀念,The teacher explained the difficult concept in a way that everyone could understand.,老師以每個人都能理解的方式解釋了這個困難的概念。
conduct,v.,進行；實施,The students conducted a survey to find out their classmates' favorite subjects.,學生們進行了一項調查，以找出他們同學最喜歡的科目。
consequence,n.,結果；後果,Failing to hand in your homework can have serious consequences for your grades.,不交作業可能會對你的成績產生嚴重的後果。
considerable,adj.,相當大的；重要的,She put a considerable amount of effort into preparing for her presentation.,她投入了相當大的精力來準備她的簡報。
consistent,adj.,一致的；始終如一的,To get good grades, you need to be consistent in your study habits.,要取得好成績，你的學習習慣需要保持一致。
constant,adj.,持續不斷的；永恆的,He faced constant pressure from his parents to get into a top university.,他面臨來自父母的持續壓力，要他考入頂尖大學。
constitute,v.,構成；組成,These ingredients constitute the main components of the cake.,這些成分構成了蛋糕的主要部分。
construct,v.,建造；構成,Students were asked to construct a model of a bridge for their science project.,學生被要求為他們的科學專案建造一個橋樑模型。
consume,v.,消耗；消費,We consume a lot of electricity when we leave the lights on all day.,我們整天開著燈會消耗大量電力。
contemporary,adj.,當代的；現代的,Contemporary art often reflects the social and political issues of our time.,當代藝術通常反映我們時代的社會和政治議題。
context,n.,背景；上下文,It's important to understand the historical context of a literary work.,理解文學作品的歷史背景很重要。
contrast,n.,對比；差異,There was a sharp contrast between her calm demeanor and his nervous gestures.,她平靜的舉止和他緊張的手勢之間形成了鮮明對比。
contribute,v.,貢獻；捐獻,Every student should contribute to keeping the classroom clean and tidy.,每個學生都應該為保持教室整潔做出貢獻。
controversy,n.,爭議；爭論,The new school policy caused a lot of controversy among parents.,新的學校政策在家長中引起了許多爭議。
convert,v.,轉換；改變,We need to convert the old classroom into a modern multimedia center.,我們需要將舊教室改造成現代多媒體中心。
convince,v.,說服；使相信,He tried to convince his parents to let him go on the school trip.,他試圖說服他的父母讓他參加學校旅行。
cooperate,v.,合作；配合,Students are encouraged to cooperate with each other on group projects.,學生們被鼓勵在小組專案中互相合作。
coordinate,v.,協調；配合,The team leader needs to coordinate the efforts of all the members.,團隊領導需要協調所有成員的努力。
corporate,adj.,公司的；法人的,Many young people dream of working in a large corporate environment.,許多年輕人夢想在大型企業環境中工作。
correspond,v.,符合；通信,Your actions should always correspond with your words.,你的行動應該始終與你的言行一致。
criticize,v.,批評；評論,It's easy to criticize others, but harder to offer constructive solutions.,批評別人很容易，但提供建設性解決方案則更難。
crucial,adj.,關鍵的；決定性的,Receiving a good education is crucial for a successful future.,接受良好的教育對於成功的未來至關重要。
cultivate,v.,培養；耕種,It's important to cultivate good study habits from an early age.,從小培養良好的學習習慣很重要。
curiosity,n.,好奇心,His curiosity about space led him to read many books on astronomy.,他對太空的好奇心促使他閱讀了許多關於天文學的書籍。
curriculum,n.,課程,The school is planning to update its curriculum to include more practical skills.,學校正計劃更新其課程，以納入更多實用技能。
decline,v.,下降；衰退,Student enrollment in arts programs has been in decline recently.,藝術課程的學生入學人數最近一直在下降。
dedicate,v.,奉獻；致力於,She decided to dedicate her life to helping underprivileged children.,她決定將一生奉獻給幫助弱勢兒童。
define,v.,定義；界定,Before we discuss the topic, let's clearly define what success means to us.,在我們討論這個話題之前，讓我們先清楚定義成功對我們意味著什麼。
demonstrate,v.,展示；證明,The science experiment will demonstrate how plants absorb water.,這個科學實驗將展示植物如何吸收水分。
deny,v.,否認；拒絕給予,He denied cheating on the exam, even though there was strong evidence.,儘管有確鑿證據，他仍否認考試作弊。
derive,v.,獲得；起源於,Many English words derive from Latin or Greek roots.,許多英文單字源自拉丁語或希臘語詞根。
designate,v.,指定；選定,The principal designated a new area for students to relax during breaks.,校長指定了一個新的區域供學生在休息時間放鬆。
